topic_name,verse_count,classification,rule_applied,set to 0
ABLUTION,44,needs_review,rule4_needs_review,
"ACCUSATION, FALSE",29,needs_review,rule4_needs_review,
AFFECTIONS,37,needs_review,rule4_needs_review,
AGRICULTURE,39,too_narrow,manual_review,0
ALIENS,22,too_narrow,manual_review,0
ALLIANCES,26,needs_review,rule4_needs_review,
ALMS,21,too_narrow,manual_review,0
AMBASSADORS,21,needs_review,rule4_needs_review,
AMBITION,25,needs_review,rule4_needs_review,
AMMONITES,34,too_narrow,manual_review,0
AMORITES,33,too_narrow,manual_review,0
AMUSEMENTS AND WORLDLY PLEASURES,32,needs_review,rule4_needs_review,
ANGEL (a spirit),165,needs_review,rule4_needs_review,
ANGER,65,needs_review,rule4_needs_review,
ANIMALS,75,too_narrow,manual_review,0
ANTHROPOMORPHISMS,37,too_narrow,manual_review,0
APOSTLES,40,needs_review,rule4_needs_review,
ARCHERY,21,too_narrow,manual_review,0
ARMIES,152,too_narrow,manual_review,0
ART,48,too_narrow,manual_review,0
ASS (DONKEY),31,too_narrow,manual_review,0
BEAUTY,23,too_narrow,manual_review,0
BENEDICTIONS,54,needs_review,rule4_needs_review,
BENEFICENCE,28,needs_review,rule4_needs_review,
BIGOTRY,29,needs_review,rule4_needs_review,
BIRDS,30,too_narrow,manual_review,0
BLASPHEMY,54,needs_review,rule4_needs_review,
BLINDNESS,55,needs_review,rule4_needs_review,
BOW,20,needs_review,rule4_needs_review,
BRASS,37,too_narrow,manual_review,0
BRIBERY,20,needs_review,rule4_needs_review,
BROTHER,28,needs_review,rule4_needs_review,
BULLOCK,23,too_narrow,manual_review,0
BURIAL,57,needs_review,rule4_needs_review,
CALL,44,needs_review,rule4_needs_review,
CAMEL,22,too_narrow,manual_review,0
CANAANITES,30,too_narrow,manual_review,0
CAPTAIN,25,too_narrow,manual_review,0
CAPTIVE,31,too_narrow,manual_review,0
CAPTIVITY,21,too_narrow,manual_review,0
CHARACTER,179,needs_review,rule4_needs_review,
CHARIOT,36,too_narrow,manual_review,0
CHIDING,23,too_narrow,manual_review,0
CHILDREN,256,needs_review,rule4_needs_review,
CHURCH AND STATE,20,too_narrow,manual_review,0
CIRCUMCISION,50,needs_review,rule4_needs_review,
CITIES,22,too_narrow,manual_review,0
CITIZENS,59,too_narrow,manual_review,0
COLORS,41,too_narrow,manual_review,0
COMMANDMENTS,39,needs_review,rule4_needs_review,
COMMERCE,93,too_narrow,manual_review,0
COMPANY,30,too_narrow,manual_review,0
CONCUBINAGE,22,too_narrow,manual_review,0
CONDESCENSION OF GOD,20,needs_review,rule4_needs_review,
CONFIDENCE,44,needs_review,rule4_needs_review,
CONSPIRACY,30,too_narrow,manual_review,0
CONTINGENCIES,20,needs_review,rule4_needs_review,
CONTRACTS,29,needs_review,rule4_needs_review,
CONVERTS,27,needs_review,rule4_needs_review,
CORD,21,too_narrow,manual_review,0
COUNTENANCE,20,too_narrow,manual_review,0
COURT,41,too_narrow,manual_review,0
COVETOUSNESS,69,needs_review,rule4_needs_review,
COWARDICE,46,needs_review,rule4_needs_review,
CUP,24,needs_review,rule4_needs_review,
DAY,30,needs_review,rule4_needs_review,
DEAD (PEOPLE),22,needs_review,rule4_needs_review,
DECEIT,53,needs_review,rule4_needs_review,
DECEPTION,23,needs_review,rule4_needs_review,
DECISION,97,needs_review,rule4_needs_review,
DESPONDENCY,26,needs_review,rule4_needs_review,
DILIGENCE,42,needs_review,rule4_needs_review,
DIPLOMACY,23,needs_review,rule4_needs_review,
DISEASE,37,needs_review,rule4_needs_review,
DISHONESTY,31,needs_review,rule4_needs_review,
DISOBEDIENCE TO GOD,29,needs_review,rule4_needs_review,
DREAM,32,needs_review,rule4_needs_review,
DRESS,50,needs_review,rule4_needs_review,
DRUNKENNESS,35,needs_review,rule4_needs_review,
EAGLE,22,too_narrow,manual_review,0
EARTH,42,too_narrow,manual_review,0
EARTHQUAKES,25,needs_review,rule4_needs_review,
EDOMITES,41,too_narrow,manual_review,0
EGYPTIANS,26,too_narrow,manual_review,0
